name,sku,width,height,length,dimUnits,weight,weightUnits
1791 Flag (Premium Edition),1791WHISKEYREBEL,29,19,7,inches,11,pounds
1791 Flag Big,1791MAX,44,25,7,inches,25,pounds
2nd Patriot 35S,PATRIOT35O,40,13,7,inches,11,pounds
2nd Patriot 35S compact,PATRIOT35C,26,14,6,inches,9,pounds
Barrel Head,TACTICALBARREL,28,28,12,inches,30,pounds
Freedom 52R,FREEDOM52R,50,17,7,inches,17,pounds
Freedom 52R (2.0),FREEDOM52R,50,17,7,inches,17,pounds
Liberty 35S,LIBERTY35,40,13,7,inches,15,pounds
Patriot 35S,PATRIOT35C,29,19,7,inches,11,pounds
Special Edition TT Patriot (RFID),PATRIOT35O,40,13,7,inches,11,pounds
Tactical Rack,RACK,40,19,9,inches,16,pounds
TT 4laws Flag,4LAWSTACTICALFLAG,29,19,7,inches,11,pounds
TT Defender,DEFENDER45,50,17,7,inches,19,pounds
TT Endtable,TACTICALTABLE,29,28,13,inches,34,pounds
TT Flag,STANDARDFLAG,29,19,7,inches,11,pounds
TT Flag - Specialoffer,STANDARDFLAG,29,19,7,inches,11,pounds
TT Flag 1791,1791WHISKEYREBEL,29,19,7,inches,11,pounds
TT Flag Blueline,BLUELINEFLAG,29,19,7,inches,11,pounds
TT Flag Upgrade,STANDARDFLAG,29,19,7,inches,11,pounds
TT Freedom,FREEDOM52R,50,17,7,inches,17,pounds
TT Freedom 52,FREEDOM52R,50,17,7,inches,17,pounds
TT Freedom DSC,FREEDOM52R,50,17,7,inches,17,pounds
TT Liberty,LIBERTY35,40,13,7,inches,15,pounds
TT Liberty DSC,LIBERTY35,40,13,7,inches,15,pounds
TT Liberty Rustic Edition,LIBERTY35,40,13,7,inches,15,pounds
TT Patriot,PATRIOT35O,40,13,7,inches,11,pounds
TT Patriot - Scratch and Dent,PATRIOT35O,40,13,7,inches,11,pounds
TT Patriot (RFID),PATRIOT35O,40,13,7,inches,11,pounds
TT Patriot 19S,PATRIOT35C,26,14,6,inches,9,pounds
TT Patriot 35S (RFID),PATRIOT35O,26,14,6,inches,9,pounds
TT Patriot 35S COmpact (RFID),PATRIOT35C,26,14,6,inches,9,pounds
TT Patriot 35S COmpact (RFID) (elite),COMPACTBLUETOOTH,26,14,6,inches,9,pounds
TT Patriot Compact (RFID),PATRIOT35C,26,14,6,inches,9,pounds
TT Patriot DSC,PATRIOT35O,40,13,7,inches,11,pounds
TT Saver,CADDY,13,10,9,inches,3,pounds
Raptor Watch,RAPTORWATCH,6,6,4,inches,1,pounds
Sealion Watch,SEALIONDIVEWATCH,6,6,4,inches,1,pounds
TT Guardian Frame,GUARDIAN,29,19,7,inches,8,pounds
TT Arcticstorm,TTArcticstorm,6,6,4,inches,1,pounds
TT Stealth X7 Camera- 1pk,STEALTHX7,4,4,8,inches,1,pounds
TT Stealth X7 Camera Deluxe- 2pk,STEALTHX7,10,8,4,inches,2,pounds
TT Stealth X7 Camera Home Fortress- 4pk,STEALTHX7,12,9,8,inches,4,pounds
Compact Upgrade,UPGRADEDCOMPACT,,,,,,
Hardwood,HARDWOOD,,,,,,
